year,city,country,avg_temp
1753,Lisbon,Portugal,15.52
1754,Lisbon,Portugal,15.63
1755,Lisbon,Portugal,15.33
1756,Lisbon,Portugal,15.68
1757,Lisbon,Portugal,15.56
1758,Lisbon,Portugal,14.18
1759,Lisbon,Portugal,15.28
1760,Lisbon,Portugal,14.72
1761,Lisbon,Portugal,15.59
1762,Lisbon,Portugal,15.55
1763,Lisbon,Portugal,14.74
1764,Lisbon,Portugal,15.54
1765,Lisbon,Portugal,15.59
1766,Lisbon,Portugal,15.48
1767,Lisbon,Portugal,15.63
1768,Lisbon,Portugal,14.72
1769,Lisbon,Portugal,15.31
1770,Lisbon,Portugal,15.16
1771,Lisbon,Portugal,15.64
1772,Lisbon,Portugal,16.08
1773,Lisbon,Portugal,15.27
1774,Lisbon,Portugal,15.99
1775,Lisbon,Portugal,16.08
1776,Lisbon,Portugal,15.52
1777,Lisbon,Portugal,15.37
1778,Lisbon,Portugal,15.63
1779,Lisbon,Portugal,15.78
1780,Lisbon,Portugal,16.38
1781,Lisbon,Portugal,15.74
1782,Lisbon,Portugal,14.95
1783,Lisbon,Portugal,15.26
1784,Lisbon,Portugal,15.30
1785,Lisbon,Portugal,15.01
1786,Lisbon,Portugal,15.49
1787,Lisbon,Portugal,15.55
1788,Lisbon,Portugal,16.04
1789,Lisbon,Portugal,14.82
1790,Lisbon,Portugal,15.54
1791,Lisbon,Portugal,15.60
1792,Lisbon,Portugal,15.62
1793,Lisbon,Portugal,15.65
1794,Lisbon,Portugal,15.41
1795,Lisbon,Portugal,15.73
1796,Lisbon,Portugal,15.44
1797,Lisbon,Portugal,15.22
1798,Lisbon,Portugal,15.65
1799,Lisbon,Portugal,15.28
1800,Lisbon,Portugal,16.04
1801,Lisbon,Portugal,15.80
1802,Lisbon,Portugal,15.94
1803,Lisbon,Portugal,15.70
1804,Lisbon,Portugal,16.15
1805,Lisbon,Portugal,15.44
1806,Lisbon,Portugal,15.73
1807,Lisbon,Portugal,15.15
1808,Lisbon,Portugal,14.64
1809,Lisbon,Portugal,14.58
1810,Lisbon,Portugal,14.21
1811,Lisbon,Portugal,14.48
1812,Lisbon,Portugal,14.52
1813,Lisbon,Portugal,14.72
1814,Lisbon,Portugal,14.45
1815,Lisbon,Portugal,14.82
1816,Lisbon,Portugal,14.33
1817,Lisbon,Portugal,15.44
1818,Lisbon,Portugal,15.71
1819,Lisbon,Portugal,14.93
1820,Lisbon,Portugal,14.79
1821,Lisbon,Portugal,15.75
1822,Lisbon,Portugal,15.44
1823,Lisbon,Portugal,15.20
1824,Lisbon,Portugal,15.57
1825,Lisbon,Portugal,15.58
1826,Lisbon,Portugal,15.43
1827,Lisbon,Portugal,15.37
1828,Lisbon,Portugal,15.54
1829,Lisbon,Portugal,14.98
1830,Lisbon,Portugal,15.44
1831,Lisbon,Portugal,15.66
1832,Lisbon,Portugal,15.07
1833,Lisbon,Portugal,15.10
1834,Lisbon,Portugal,16.04
1835,Lisbon,Portugal,15.05
1836,Lisbon,Portugal,15.25
1837,Lisbon,Portugal,15.28
1838,Lisbon,Portugal,15.31
1839,Lisbon,Portugal,15.12
1840,Lisbon,Portugal,15.06
