year,city,country,avg_temp
1743,Madrid,Spain,6.65
1744,Madrid,Spain,12.41
1745,Madrid,Spain,5.46
1746,Madrid,Spain,
1747,Madrid,Spain,
1748,Madrid,Spain,
1749,Madrid,Spain,
1750,Madrid,Spain,12.01
1751,Madrid,Spain,12.71
1752,Madrid,Spain,7.07
1753,Madrid,Spain,11.47
1754,Madrid,Spain,11.49
1755,Madrid,Spain,11.17
1756,Madrid,Spain,11.50
1757,Madrid,Spain,11.34
1758,Madrid,Spain,10.24
1759,Madrid,Spain,11.35
1760,Madrid,Spain,10.92
1761,Madrid,Spain,11.53
1762,Madrid,Spain,11.43
1763,Madrid,Spain,10.79
1764,Madrid,Spain,11.46
1765,Madrid,Spain,11.48
1766,Madrid,Spain,11.34
1767,Madrid,Spain,11.45
1768,Madrid,Spain,10.77
1769,Madrid,Spain,11.23
1770,Madrid,Spain,11.08
1771,Madrid,Spain,11.57
1772,Madrid,Spain,12.18
1773,Madrid,Spain,11.15
1774,Madrid,Spain,11.79
1775,Madrid,Spain,11.93
1776,Madrid,Spain,11.43
1777,Madrid,Spain,11.27
1778,Madrid,Spain,11.62
1779,Madrid,Spain,11.80
1780,Madrid,Spain,12.21
1781,Madrid,Spain,11.85
1782,Madrid,Spain,10.84
1783,Madrid,Spain,11.40
1784,Madrid,Spain,11.15
1785,Madrid,Spain,10.95
1786,Madrid,Spain,11.36
1787,Madrid,Spain,11.51
1788,Madrid,Spain,11.98
1789,Madrid,Spain,10.72
1790,Madrid,Spain,11.57
1791,Madrid,Spain,11.59
1792,Madrid,Spain,11.58
1793,Madrid,Spain,11.57
1794,Madrid,Spain,11.46
1795,Madrid,Spain,11.56
1796,Madrid,Spain,11.36
1797,Madrid,Spain,11.19
1798,Madrid,Spain,11.53
1799,Madrid,Spain,11.02
1800,Madrid,Spain,11.95
1801,Madrid,Spain,11.74
1802,Madrid,Spain,11.90
1803,Madrid,Spain,11.61
1804,Madrid,Spain,12.06
1805,Madrid,Spain,11.10
1806,Madrid,Spain,11.74
1807,Madrid,Spain,11.13
1808,Madrid,Spain,10.47
1809,Madrid,Spain,10.65
1810,Madrid,Spain,10.40
1811,Madrid,Spain,10.84
1812,Madrid,Spain,10.43
1813,Madrid,Spain,10.66
1814,Madrid,Spain,10.26
1815,Madrid,Spain,10.85
1816,Madrid,Spain,10.20
1817,Madrid,Spain,11.37
1818,Madrid,Spain,11.67
1819,Madrid,Spain,11.02
1820,Madrid,Spain,10.83
1821,Madrid,Spain,11.67
1822,Madrid,Spain,11.67
1823,Madrid,Spain,11.08
1824,Madrid,Spain,11.43
1825,Madrid,Spain,11.62
1826,Madrid,Spain,11.34
1827,Madrid,Spain,11.22
1828,Madrid,Spain,11.65
1829,Madrid,Spain,10.77
1830,Madrid,Spain,11.31
1831,Madrid,Spain,11.65
1832,Madrid,Spain,11.15
1833,Madrid,Spain,11.07
1834,Madrid,Spain,12.09
1835,Madrid,Spain,10.98
1836,Madrid,Spain,11.11
1837,Madrid,Spain,11.09
1838,Madrid,Spain,11.23
1839,Madrid,Spain,11.16
1840,Madrid,Spain,10.96
1841,Madrid,Spain,11.23
1842,Madrid,Spain,11.17
1843,Madrid,Spain,11.41
1844,Madrid,Spain,11.23
1845,Madrid,Spain,10.83
1846,Madrid,Spain,11.85
1847,Madrid,Spain,11.30
1848,Madrid,Spain,10.97
1849,Madrid,Spain,11.30
1850,Madrid,Spain,11.40
1851,Madrid,Spain,11.01
1852,Madrid,Spain,11.84
1853,Madrid,Spain,10.42
1854,Madrid,Spain,11.19
1855,Madrid,Spain,10.61
1856,Madrid,Spain,11.87
1857,Madrid,Spain,11.34
1858,Madrid,Spain,11.74
1859,Madrid,Spain,11.25
1860,Madrid,Spain,10.57
1861,Madrid,Spain,11.27
1862,Madrid,Spain,11.29
1863,Madrid,Spain,11.19
1864,Madrid,Spain,11.49
1865,Madrid,Spain,11.40
1866,Madrid,Spain,11.41
