year,city,country,avg_temp
1820,Novosibirsk,Russia,-1.69
1821,Novosibirsk,Russia,-0.23
1822,Novosibirsk,Russia,-0.24
1823,Novosibirsk,Russia,-1.02
1824,Novosibirsk,Russia,0.18
1825,Novosibirsk,Russia,0.03
1826,Novosibirsk,Russia,-0.11
1827,Novosibirsk,Russia,0.43
1828,Novosibirsk,Russia,-0.70
1829,Novosibirsk,Russia,-0.73
1830,Novosibirsk,Russia,0.14
1831,Novosibirsk,Russia,-1.43
1832,Novosibirsk,Russia,-1.33
1833,Novosibirsk,Russia,-0.81
1834,Novosibirsk,Russia,-0.25
1835,Novosibirsk,Russia,-1.18
1836,Novosibirsk,Russia,-0.66
1837,Novosibirsk,Russia,-1.21
1838,Novosibirsk,Russia,-1.93
1839,Novosibirsk,Russia,-2.38
1840,Novosibirsk,Russia,-1.33
1841,Novosibirsk,Russia,-1.99
1842,Novosibirsk,Russia,0.12
1843,Novosibirsk,Russia,1.03
1844,Novosibirsk,Russia,-0.67
1845,Novosibirsk,Russia,-0.66
1846,Novosibirsk,Russia,-0.15
1847,Novosibirsk,Russia,-0.63
1848,Novosibirsk,Russia,-1.12
1849,Novosibirsk,Russia,-0.29
1850,Novosibirsk,Russia,-1.17
1851,Novosibirsk,Russia,-0.74
1852,Novosibirsk,Russia,-0.38
1853,Novosibirsk,Russia,-1.88
1854,Novosibirsk,Russia,0.16
1855,Novosibirsk,Russia,0.13
1856,Novosibirsk,Russia,0.09
1857,Novosibirsk,Russia,-1.37
1858,Novosibirsk,Russia,0.01
1859,Novosibirsk,Russia,1.10
1860,Novosibirsk,Russia,-2.38
1861,Novosibirsk,Russia,-0.70
1862,Novosibirsk,Russia,-1.80
1863,Novosibirsk,Russia,0.64
1864,Novosibirsk,Russia,-0.91
1865,Novosibirsk,Russia,-0.61
1866,Novosibirsk,Russia,0.00
1867,Novosibirsk,Russia,1.56
1868,Novosibirsk,Russia,-0.37
1869,Novosibirsk,Russia,-0.43
1870,Novosibirsk,Russia,-0.78
1871,Novosibirsk,Russia,-0.08
1872,Novosibirsk,Russia,-2.38
1873,Novosibirsk,Russia,-0.15
1874,Novosibirsk,Russia,1.15
1875,Novosibirsk,Russia,-0.51
1876,Novosibirsk,Russia,-0.84
1877,Novosibirsk,Russia,-0.19
1878,Novosibirsk,Russia,0.22
